Modality,Scale,ACC,Macro-P,Macro-R,Macro-F1,Seeds
T,Base,68.14,67.97,67.96,67.94,"42,52,62"
T,Large,66.50,66.44,66.49,66.39,"42,52,62"
A,Base,70.85,71.65,71.46,70.84,"42,52,62"
A,Large,75.29,75.62,75.67,75.28,"42,52,62"
V,Base,53.04,53.17,53.19,53.01,"42,52,62"
V,Large,53.37,53.93,53.88,53.24,"42,52,62"
T+A,Base,74.79,74.80,74.88,74.72,"42,52,62"
T+A,Large,73.56,73.64,73.78,73.54,"42,52,62"
T+V,Base,66.75,66.65,66.61,66.56,"42,52,62"
T+V,Large,67.49,67.42,67.52,67.41,"42,52,62"
A+V,Base,69.13,69.08,69.04,68.96,"42,52,62"
A+V,Large,71.51,71.63,71.74,71.49,"42,52,62"
T+A+V,Base,71.92,72.02,71.82,71.71,"42,52,62"
T+A+V,Large,74.88,74.84,74.77,74.73,"42,52,62"
