Modality,Scale,ACC,Macro-P,Macro-R,Macro-F1,Seeds
T,Base,59.48,59.65,59.56,59.42,"42,52,62"
T,Large,60.22,60.34,60.25,60.13,"42,52,62"
A,Base,65.93,66.23,66.03,65.85,"42,52,62"
A,Large,66.85,66.85,66.83,66.83,"42,52,62"
V,Base,59.67,59.73,59.59,59.44,"42,52,62"
V,Large,64.64,65.32,64.77,64.39,"42,52,62"
T+A,Base,66.67,67.12,66.78,66.52,"42,52,62"
T+A,Large,70.35,70.43,70.30,70.27,"42,52,62"
T+V,Base,64.64,64.66,64.64,64.62,"42,52,62"
T+V,Large,64.64,64.70,64.67,64.63,"42,52,62"
A+V,Base,66.30,66.31,66.26,66.25,"42,52,62"
A+V,Large,71.27,71.60,71.36,71.21,"42,52,62"
T+A+V,Base,66.30,66.39,66.35,66.29,"42,52,62"
T+A+V,Large,73.30,73.47,73.35,73.27,"42,52,62"
